antecedents,consequents,antecedent support,consequent support,support,confidence,lift,antecedents_str,consequents_str
45,302,0.005455880809988459,0.037246878606651976,0.0013639702024971147,0.25,6.711971830985916,BEBIDA SABOR CHOCOLATE,SUCO NECTAR
31,85,0.0060854055188332805,0.0593501906060924,0.002413178050571818,0.39655172413793105,6.681557718489017,ASPARGO,COGUMELOS
320,143,0.024551463644948063,0.03920539992305809,0.006295247088448221,0.2564102564102564,6.540177039731009,TRIGO PARA QUIBE,GRAO DE BICO
287,244,0.03917042632812227,0.0317560242017277,0.008078900430175218,0.20625000000000002,6.4948306718061675,SACHES SAL,PALITOS
244,287,0.0317560242017277,0.03917042632812227,0.008078900430175218,0.2544052863436123,6.494830671806167,PALITOS,SACHES SAL
277,287,0.00891826670863498,0.03917042632812227,0.002238310075892701,0.25098039215686274,6.407394957983193,SACHE AZEITE,SACHES SAL
128,53,0.010771867240233624,0.08963732382051551,0.006120379113769104,0.5681818181818181,6.33867449366864,FILTRO DE CAFE,CAFE EM PO
81,87,0.008778372328891686,0.03210576015108593,0.0017836533417269962,0.20318725099601595,6.328685258964144,COBERTURA CHOCOLATE BRANCO,CONFEITOS
80,269,0.012940230126254677,0.03497359493582345,0.0027978875948658764,0.21621621621621623,6.182270270270271,COBERTURA CHOCOLATE AO LEITE,RECHEIOS
133,253,0.026509984961354177,0.06211310460602245,0.00982758017696639,0.370712401055409,5.968344416316053,FUSILI (PARAFUSO),PENNE
225,121,0.04543069982163467,0.03476375336620851,0.009093134683314097,0.20015396458814472,5.757547595039057,OUTROS FEIJOES,FEIJAO CARIOCA
121,225,0.03476375336620851,0.04543069982163467,0.009093134683314097,0.26156941649899396,5.757547595039056,FEIJAO CARIOCA,OUTROS FEIJOES
64,190,0.05186584128982618,0.0647011506312734,0.018570978910922253,0.3580579905596763,5.534028175174499,CATCHUP,MOSTARDA
190,64,0.0647011506312734,0.05186584128982618,0.018570978910922253,0.287027027027027,5.534028175174499,MOSTARDA,CATCHUP
237,126,0.005525827999860106,0.03777148253068933,0.001154128632882174,0.20886075949367086,5.5295886075949365,OUTROS SACHES,FIBRAS E MANTAS DE LIMPEZA
242,245,0.037141957821844505,0.07260518308676948,0.01447906830343091,0.3898305084745763,5.369182913686686,OVO DE CODORNA,PALMITO
129,127,0.024971146784177944,0.041478683593886616,0.005490854404924282,0.21988795518207285,5.301227911063245,FOLHA DE ALUMINIO,FILME PVC
156,225,0.024481516455076416,0.04543069982163467,0.0058755639492183405,0.24000000000000002,5.2827713625866055,LENTILHA,OUTROS FEIJOES
31,317,0.0060854055188332805,0.051725946910082886,0.0016437589619837023,0.27011494252873564,5.222039588724908,ASPARGO,TOMATE SECO
248,250,0.0299723708600007,0.09659706921274437,0.015073619417339909,0.5029171528588098,5.206339663900054,PAPEL HIGIENICO,PAPEL TOALHA
159,99,0.004266778582170462,0.0475640891127199,0.0010492078480747037,0.2459016393442623,5.169901157184185,LIMPA MOVEIS,DESINFETANTE
12,85,0.02794390235372294,0.0593501906060924,0.008463609974469277,0.30287859824780977,5.103245586151812,ALCAPARRA,COGUMELOS
301,300,0.02734935123981394,0.09173573951666492,0.01255552058196062,0.459079283887468,5.004366741972692,SUCO EM PO,SOBREMESAS EM PO
143,225,0.03920539992305809,0.04543069982163467,0.008883293113699156,0.22658340767172166,4.9874514053560715,GRAO DE BICO,OUTROS FEIJOES
218,99,0.004581540936592872,0.0475640891127199,0.001084181443010527,0.2366412213740458,4.975207678491244,OUTROS CLORADOS,DESINFETANTE
121,122,0.03476375336620851,0.10890777463015423,0.018780820480537194,0.540241448692153,4.960540700852515,FEIJAO CARIOCA,FEIJAO PRETO
5,127,0.00496625048088693,0.041478683593886616,0.0010142342531388802,0.2042253521126761,4.92362183217348,ACUCAR PARA CONFEITARIA,FILME PVC
79,99,0.015248487392019026,0.0475640891127199,0.0035673066834539923,0.23394495412844035,4.918520642201834,CLORO LIQUIDO,DESINFETANTE
55,214,0.0317560242017277,0.06214807820095827,0.009652712202287273,0.3039647577092511,4.890975980405524,CALDO DE CARNE,OUTROS CALDOS SOPAS E CREMES
230,300,0.04133878921414332,0.09173573951666492,0.018291190151435665,0.44247038917089676,4.82331522591058,OUTROS MERCEARIA,SOBREMESAS EM PO
206,27,0.005246039240373518,0.05295002273283671,0.0013289966075612912,0.25333333333333335,4.7843857331572,OUTRAS MASSAS FRESCAS,ARROZ INTEGRAL
242,254,0.037141957821844505,0.0698072954919036,0.012380652607281502,0.3333333333333333,4.775050100200401,OVO DE CODORNA,PEPINO EM CONSERVA
206,253,0.005246039240373518,0.06211310460602245,0.0015388381771762319,0.29333333333333333,4.722567567567568,OUTRAS MASSAS FRESCAS,PENNE
206,225,0.005246039240373518,0.04543069982163467,0.0011191550379463504,0.21333333333333332,4.695796766743649,OUTRAS MASSAS FRESCAS,OUTROS FEIJOES
